source	target	count
819148	784912	1
390452836	554523661	2
16031160	12984782	1
153648441	286803371	1
49675047	14865941	1
63096088	979811	1
19007006	78453	1
159111086	22852745	1
993055418	16452299	1
359444801	979811	2
247388098	16452299	1
318393568	23978155	1
207959644	6312822	1
95749199	83271185	1
22974708	23978155	1
101021921	312846503	1
250497656	6312822	1
16364081	979811	1
1431682465	20542450	1
14188890	23978155	1
19558701	554523661	2
332397661	83271185	1
416151259	979811	1
364197480	6312822	1
15684784	12984782	1
408879933	78453	1
342720495	273116393	1
928895239	20542450	1
363329873	222540906	1
316684380	277568858	1
19910730	979811	1
28006594	83271185	1
85744909	14151652	1
1111085274	16452299	1
35647737	6312822	1
8108292	784912	1
15174093	83271185	1
39909935	78453	1
22406530	327550001	1
343304868	4641021	1
734363305	13945572	1
1690351	784912	1
77923438	979811	1
26644148	83271185	1
14438627	6312822	1
34590891	16452299	1
41845771	83271185	1
101670023	21253062	2
775091372	23978155	1
1594471	784912	1
1050111	78453	1
139438341	18657572	1
295927073	12984782	1
35383	979811	1
16326650	23978155	1
18863829	14372486	1
343304868	14539324	1
1491578720	428413732	1
192977251	979811	1
635639811	583375286	1
63096088	428413732	1
15545124	17618643	1
8390682	8950192	1
63096088	78453	1
43925636	784912	1
37671491	83271185	1
20584314	23978155	1
31541791	979811	1
19558701	14752818	1
1336384574	1446309715	1
12313592	784912	1
96514380	2242231	1
17934912	23978155	1
261009866	611823	1
87324756	83271185	1
1447403276	23978155	1
18785068	6312822	1
4571321	784912	1
5716352	611823	1
20239378	83271185	1
48633265	318393568	1
364197480	222540906	1
343304868	16452299	1
19558701	583375286	2
196621155	15403842	1
14643241	784912	1
287387862	784912	1
362130491	277568858	1
19664443	17524072	1
61449346	545531694	1
229188222	979811	1
14202167	23978155	1
15760192	979811	1
15606719	83271185	1
14260072	979811	1
17855647	784912	1
263267483	611823	2
103185156	14539324	1
35014791	784912	1
15654208	979811	1
594683716	25338609	1
258108228	23978155	1
15463446	83271185	1
14355425	277568858	1
150242475	16452299	1
18334191	23978155	1
452999360	16711478	1
27761892	15086405	1
101670023	16711478	1
1306958010	611823	1
56251446	83271185	1
1237757929	6312822	1
3007491	83271185	1
17506533	784912	1
61507582	15958614	1
33799821	979811	1
413710489	277568858	1
89354935	15086405	1
8108292	14255185	1
378175954	979811	1
370136412	6312822	1
120761095	979811	1
18316576	83271185	1
15576787	83271185	1
198554681	6312822	1
561075007	277568858	3
19182150	6312822	1
23085508	784912	1
93186089	979811	1
41399164	979811	2
34590891	14539324	1
464943507	277568858	1
1447403276	14865941	1
540270484	5834352	1
20129541	83271185	1
749911052	371887050	1
84849477	23978155	1
102851047	65283878	1
121233033	23978155	1
33818674	784912	1
346483445	784912	1
61328073	979811	1
226624013	83271185	1
18093	78453	1
11537152	13945572	1
251804630	78453	1
149730311	15958614	1
903	784912	1
15228823	23978155	1
263007493	1006521	1
52885446	15958614	1
9427242	36183	1
4258171	83271185	1
202106234	78453	1
73338728	784912	1
749911052	18657572	1
59498896	17618643	1
44921950	784912	1
38815589	83271185	1
14355425	299659914	1
1163437148	15403842	1
7981252	6312822	1
88500584	979811	1
454929825	15403842	1
9047312	36183	1
7981252	25338609	1
18785068	23978155	2
14060640	6312822	1
414404825	23978155	1
1163437148	15086405	1
174531542	13945572	1
16290599	6312822	1
47469552	14151652	1
1237757929	83271185	1
134056924	611823	1
20328096	979811	1
61449346	2242231	1
492174715	17524072	1
39247962	5834352	1
15545124	554523661	1
39247962	784912	1
15523460	25338609	1
1006521	15958614	1
19963403	784912	1
72905224	15086405	1
313531038	979811	1
35383	784912	1
19182150	23978155	1
5532312	36183	1
750272622	222540906	1
147998591	23978155	2
474283666	83271185	1
21145876	78453	1
26753313	78453	1
465689262	784912	1
1490869105	784912	1
2242231	9871212	1
80680080	25338609	1
14913623	979811	2
90337535	784912	1
66351897	784912	1
174531542	23978155	1
74471361	23978155	1
749911052	69442868	1
14188163	83271185	1
1511034536	15086405	1
16944165	83271185	1
64581135	277568858	1
837014366	78453	1
132595720	15086405	1
14302937	36183	1
41843452	784912	1
224875510	23978155	1
222881450	23978155	1
318393568	1006521	1
207209450	17618643	1
53561172	23978155	1
12609722	455274701	1
19558701	312846503	1
327550001	6312822	1
142847073	15086405	1
53561172	979811	1
5735232	979811	1
469800522	18657572	1
14879113	14865941	1
